Time (s),Temp (°C),Error,Control Input
196.0000,16.0440,8.9560,7.1648
197.0000,16.0292,8.9708,7.1767
198.0000,16.0144,8.9856,7.1885
199.0000,15.9997,9.0003,7.2002
200.0000,15.9850,9.0150,7.2120
201.0000,15.9704,9.0296,7.2237
202.0000,15.9558,9.0442,7.2353
203.0000,15.9413,9.0587,7.2470
204.0000,15.9268,9.0732,7.2585
205.0000,15.9124,9.0876,7.2701
206.0000,15.8980,9.1020,7.2816
207.0000,15.8836,9.1164,7.2931
208.0000,15.8693,9.1307,7.3046
209.0000,15.8550,9.1450,7.3160
210.0000,15.8408,9.1592,7.3274
211.0000,15.8266,9.1734,7.3387
212.0000,15.8124,9.1876,7.3500
213.0000,15.7983,9.2017,7.3613
214.0000,15.7843,9.2157,7.3726
215.0000,15.7703,9.2297,7.3838
216.0000,15.7563,9.2437,7.3950
217.0000,15.7423,9.2577,7.4061
218.0000,15.7285,9.2715,7.4172
219.0000,15.7146,9.2854,7.4283
220.0000,15.7008,9.2992,7.4394
221.0000,15.6870,9.3130,7.4504
222.0000,15.6733,9.3267,7.4614
223.0000,15.6596,9.3404,7.4723
224.0000,15.6460,9.3540,7.4832
225.0000,15.6324,9.3676,7.4941
226.0000,15.6188,9.3812,7.5050
227.0000,15.6053,9.3947,7.5158
228.0000,15.5918,9.4082,7.5266
229.0000,15.5783,9.4217,7.5373
230.0000,15.5649,9.4351,7.5480
231.0000,15.5516,9.4484,7.5587
232.0000,15.5383,9.4617,7.5694
233.0000,15.5250,9.4750,7.5800
234.0000,15.5117,9.4883,7.5906
235.0000,15.4985,9.5015,7.6012
236.0000,15.4854,9.5146,7.6117
237.0000,15.4723,9.5277,7.6222
238.0000,15.4592,9.5408,7.6327
239.0000,15.4461,9.5539,7.6431
240.0000,15.4331,9.5669,7.6535
241.0000,15.4202,9.5798,7.6639
242.0000,15.4072,9.5928,7.6742
243.0000,15.3943,9.6057,7.6845
244.0000,15.3815,9.6185,7.6948
245.0000,15.3687,9.6313,7.7051
246.0000,15.3559,9.6441,7.7153
247.0000,15.3432,9.6568,7.7255
248.0000,15.3305,9.6695,7.7356
249.0000,15.3178,9.6822,7.7457
250.0000,15.3052,9.6948,7.7558
251.0000,15.2926,9.7074,7.7659
252.0000,15.2801,9.7199,7.7759
253.0000,15.2676,9.7324,7.7860
254.0000,15.2551,9.7449,7.7959
255.0000,15.2427,9.7573,7.8059
256.0000,15.2303,9.7697,7.8158
257.0000,15.2179,9.7821,7.8257
258.0000,15.2056,9.7944,7.8355
259.0000,15.1933,9.8067,7.8454
260.0000,15.1811,9.8189,7.8552
261.0000,15.1688,9.8312,7.8649
262.0000,15.1567,9.8433,7.8747
263.0000,15.1445,9.8555,7.8844
264.0000,15.1324,9.8676,7.8941
265.0000,15.1204,9.8796,7.9037
266.0000,15.1083,9.8917,7.9133
267.0000,15.0964,9.9036,7.9229
268.0000,15.0844,9.9156,7.9325
269.0000,15.0725,9.9275,7.9420
270.0000,15.0606,9.9394,7.9515
271.0000,15.0487,9.9513,7.9610
272.0000,15.0369,9.9631,7.9705
273.0000,15.0252,9.9748,7.9799
274.0000,15.0134,9.9866,7.9893
275.0000,15.0017,9.9983,7.9986
276.0000,14.9900,10.0100,8.0080
277.0000,14.9784,10.0216,8.0173
278.0000,14.9668,10.0332,8.0266
279.0000,14.9552,10.0448,8.0358
280.0000,14.9437,10.0563,8.0450
281.0000,14.9322,10.0678,8.0542
282.0000,14.9207,10.0793,8.0634
283.0000,14.9093,10.0907,8.0726
284.0000,14.8979,10.1021,8.0817
285.0000,14.8866,10.1134,8.0908
286.0000,14.8752,10.1248,8.0998
287.0000,14.8639,10.1361,8.1089
288.0000,14.8527,10.1473,8.1179
289.0000,14.8414,10.1586,8.1268
290.0000,14.8303,10.1697,8.1358
291.0000,14.8191,10.1809,8.1447
292.0000,14.8080,10.1920,8.1536
293.0000,14.7969,10.2031,8.1625
294.0000,14.7858,10.2142,8.1713
295.0000,14.7748,10.2252,8.1802
296.0000,14.7638,10.2362,8.1889
297.0000,14.7529,10.2471,8.1977
298.0000,14.7419,10.2581,8.2065
299.0000,14.7310,10.2690,8.2152
300.0000,14.7202,10.2798,8.2239
301.0000,14.7094,10.2906,8.2325
302.0000,14.6986,10.3014,8.2412
303.0000,14.6878,10.3122,8.2498
304.0000,14.6771,10.3229,8.2583
305.0000,14.6664,10.3336,8.2669
306.0000,14.6557,10.3443,8.2754
307.0000,14.6451,10.3549,8.2839
308.0000,14.6345,10.3655,8.2924
309.0000,14.6239,10.3761,8.3009
310.0000,14.6134,10.3866,8.3093
311.0000,14.6028,10.3972,8.3177
312.0000,14.5924,10.4076,8.3261
313.0000,14.5819,10.4181,8.3345
314.0000,14.5715,10.4285,8.3428
315.0000,14.5611,10.4389,8.3511
316.0000,14.5508,10.4492,8.3594
317.0000,14.5405,10.4595,8.3676
318.0000,14.5302,10.4698,8.3759
319.0000,14.5199,10.4801,8.3841
320.0000,14.5097,10.4903,8.3922
321.0000,14.4995,10.5005,8.4004
322.0000,14.4893,10.5107,8.4085
323.0000,14.4792,10.5208,8.4166
324.0000,14.4691,10.5309,8.4247
325.0000,14.4590,10.5410,8.4328
326.0000,14.4490,10.5510,8.4408
327.0000,14.4390,10.5610,8.4488
328.0000,14.4290,10.5710,8.4568
329.0000,14.4190,10.5810,8.4648
330.0000,14.4091,10.5909,8.4727
331.0000,14.3992,10.6008,8.4806
332.0000,14.3893,10.6107,8.4885
333.0000,14.3795,10.6205,8.4964
334.0000,14.3697,10.6303,8.5042
335.0000,14.3599,10.6401,8.5121
336.0000,14.3502,10.6498,8.5199
337.0000,14.3405,10.6595,8.5276
338.0000,14.3308,10.6692,8.5354
339.0000,14.3211,10.6789,8.5431
340.0000,14.3115,10.6885,8.5508
341.0000,14.3019,10.6981,8.5585
342.0000,14.2923,10.7077,8.5661
343.0000,14.2828,10.7172,8.5738
344.0000,14.2733,10.7267,8.5814
345.0000,14.2638,10.7362,8.5890
346.0000,14.2543,10.7457,8.5965
347.0000,14.2449,10.7551,8.6041
348.0000,14.2355,10.7645,8.6116
349.0000,14.2261,10.7739,8.6191
350.0000,14.2168,10.7832,8.6266
351.0000,14.2074,10.7926,8.6340
352.0000,14.1982,10.8018,8.6415
353.0000,14.1889,10.8111,8.6489
354.0000,14.1797,10.8203,8.6563
355.0000,14.1705,10.8295,8.6636
356.0000,14.1613,10.8387,8.6710
357.0000,14.1521,10.8479,8.6783
358.0000,14.1430,10.8570,8.6856
359.0000,14.1339,10.8661,8.6929
360.0000,14.1248,10.8752,8.7001
361.0000,14.1158,10.8842,8.7074
362.0000,14.1068,10.8932,8.7146
363.0000,14.0978,10.9022,8.7218
364.0000,14.0888,10.9112,8.7289
365.0000,14.0799,10.9201,8.7361
366.0000,14.0710,10.9290,8.7432
367.0000,14.0621,10.9379,8.7503
368.0000,14.0533,10.9467,8.7574
369.0000,14.0444,10.9556,8.7644
370.0000,14.0356,10.9644,8.7715
371.0000,14.0269,10.9731,8.7785
372.0000,14.0181,10.9819,8.7855
373.0000,14.0094,10.9906,8.7925
